trial,ts_iso,compute_s,auth_s,cpu_percent,mem_percent
84,2025-10-21T15:33:10,0.001155,0.020558,16.0,43.0
85,2025-10-21T15:33:10,0.000972,0.018597,56.2,43.0
86,2025-10-21T15:33:10,0.001139,0.019554,69.7,43.0
87,2025-10-21T15:33:10,0.001043,0.019576,31.2,43.0
88,2025-10-21T15:33:10,0.001101,0.019136,12.5,43.0
89,2025-10-21T15:33:10,0.00122,0.019207,18.8,43.0
90,2025-10-21T15:33:10,0.001262,0.020361,50.0,43.1
91,2025-10-21T15:33:10,0.001226,0.019317,6.2,43.0
92,2025-10-21T15:33:10,0.001126,0.019632,21.9,43.1
93,2025-10-21T15:33:10,0.001338,0.01944,56.2,43.0
94,2025-10-21T15:33:10,0.001071,0.021081,43.8,43.0
95,2025-10-21T15:33:10,0.001061,0.018667,39.4,43.0
96,2025-10-21T15:33:10,0.001051,0.018077,18.8,43.0
97,2025-10-21T15:33:10,0.000998,0.018869,62.5,43.0
98,2025-10-21T15:33:10,0.001038,0.01923,25.8,43.0
99,2025-10-21T15:33:10,0.002746,0.024768,52.9,43.0
100,2025-10-21T15:33:10,0.00109,0.018449,31.2,43.0
101,2025-10-21T15:33:10,0.001069,0.018859,31.2,43.0
102,2025-10-21T15:33:10,0.001302,0.020023,50.0,43.0
103,2025-10-21T15:33:10,0.001502,0.01961,34.4,43.0
104,2025-10-21T15:33:10,0.00142,0.018665,18.8,43.0
105,2025-10-21T15:33:10,0.001077,0.018789,23.5,43.0
106,2025-10-21T15:33:10,0.00126,0.018498,23.3,43.0
107,2025-10-21T15:33:10,0.001202,0.019112,38.9,43.0
108,2025-10-21T15:33:10,0.001135,0.019833,62.5,43.0
109,2025-10-21T15:33:10,0.001117,0.019825,31.2,43.0
110,2025-10-21T15:33:10,0.001092,0.019076,18.8,43.0
111,2025-10-21T15:33:11,0.001002,0.018864,23.5,43.0
112,2025-10-21T15:33:11,0.001222,0.019516,36.4,43.0
113,2025-10-21T15:33:11,0.001016,0.019495,12.5,43.0
114,2025-10-21T15:33:11,0.001234,0.018414,12.5,43.0
115,2025-10-21T15:33:11,0.001018,0.018773,33.3,43.0
116,2025-10-21T15:33:11,0.00098,0.019257,68.4,43.0
117,2025-10-21T15:33:11,0.001078,0.019582,12.5,43.0
